img x1 y1 x2 y2
3372 1 67 425 553
6144 1 52 430 531
67229 45 28 524 375
6382 10 27 555 389
68129 7 11 607 391
441 28 24 570 391
97 33 22 561 378
6329 21 19 555 425
4056 12 43 495 468
3732 54 50 488 391
3313 1 1 575 399
68172 14 24 537 427
588 7 1 587 407
4385 28 28 521 405
1328 2 0 636 355
5662 5 10 568 424
5626 5 9 558 409
5901 37 9 546 422
6650 8 14 561 419
119 72 18 549 369
1190 9 7 473 356
3028 1 1 563 408
68056 28 16 530 409
3870 12 33 487 464
1117 106 72 538 341
310 70 45 540 377
1021 17 27 586 391
68223 63 16 574 378
40 50 43 552 368
3356 18 29 478 462
67042 17 9 492 356
1533 107 32 584 373
67599 7 16 572 422
5172 37 39 573 420
5763 86 45 501 395
67608 3 5 571 429
728 45 23 590 381
67734 15 7 496 328
2942 32 32 544 398
3322 75 32 517 348
6509 4 33 431 516
6502 17 31 487 466
3917 26 68 498 456
3199 1 22 492 483
67647 5 5 564 428
419 13 24 595 404
3766 5 24 421 549
6952 5 7 571 423
68620 5 24 578 424
68209 45 8 608 376
710 1 0 423 330
3335 0 8 498 495
1378 25 35 556 392
1549 10 8 490 316
1050 45 22 538 383
3599 29 50 470 397
1234 5 14 567 414
4325 26 54 471 445
6896 10 75 296 288
67718 16 33 585 390
646 34 23 584 385
3801 112 18 610 348
4279 4 108 427 497
68495 160 72 574 359
68467 27 38 605 386
1770 5 114 404 561
69149 4 48 428 524
3157 4 13 362 621
2104 17 81 484 458
1653 35 21 592 370
6304 10 50 420 536
205 12 10 567 416
6376 45 8 577 325
68444 3 1 573 425
212 10 41 439 416
67777 9 5 566 423
68436 65 37 568 378
67148 42 20 585 391
1176 4 10 487 362
3748 45 36 504 402
4645 2 103 428 488
5762 158 20 602 351
5916 1 14 485 481
5442 5 48 430 432
67105 5 5 573 427
3316 50 10 540 403
6425 12 67 427 533
68969 17 108 411 544
68912 14 12 490 477
67537 4 13 460 321
3217 1 6 498 491
1401 24 25 539 355
1200 18 40 381 356
171 7 17 568 397
1037 18 30 549 418
5563 18 11 390 283
5337 1 40 427 544
68042 10 30 562 422
3437 8 19 418 563
998 36 39 544 402
67819 13 15 601 396
1707 3 5 571 411
5712 3 4 496 489
6276 10 25 495 464
68561 1 0 568 432
6084 4 14 424 567
6814 5 19 426 567
789 5 14 551 429
